MusicBrainzID,NAME OF THE TRACK,ARTIST,ANNOTATED,EVALUATED / %accuracy (both root & type correct),RHYTHM FEEL,STYLE,FORM,ORCHESTRATION,INSTRUMENTATION,BASIC INFO
35cc8f0f-af78-4e24-865b-2a419e4a6df0,You've Got to Be Modernistic,James P. Johnson,,,Two-Beat Feel,Ragtime,,Solo,Piano,Representative of Ragtime Piano playing.
3f6f7104-11bc-41f4-96b0-11ed31a948d4,King Porter Stomp,Jelly Roll Morton,+,%56.53,Two-Beat Feel,Ragtime,Through-Composed,Solo,Piano,Representative of Ragtime Piano playing.
121cde3e-0177-40d3-b502-bf80049bdb0d,Watermelon Man,Herbie Hancock,,,Funk,Soul Jazz / Fusion,Blues 16-bar,Jazz Fusion Ensemble,"Soprano Saxophone, Rhodes Electric Piano, Clavinet, synthesizer, Electric Bass, Drums, Percussion",Representative of Jazz Fusion with funky grooves and electrified instruments
abdf0909-c45b-4c03-ac98-231eb4140abc,I Ain't Got Nobody,Fats Waller,,,Slow Swing,Stride / Swing,AABA,Solo,Piano,Representative of ???Stride??? style piano playing
d9747359-db30-43f9-82cd-0d9566114658,Dinah,Fats Waller and His Rhythm, +,%67.34,Two-Beat Feel,Stride / Swing,AABA,Jazz Combo (Sextet),"Trumpet, Clarinet, Piano, Guitar, Bass, Drums, Vocals",Good example of ???stride style??? piano playing & vocals
a65fc12c-76d7-4f8c-b53d-91fd193e2d1a,Stardust,Artie Shaw & His Orchestra,,,Slow Swing,Swing,Through-Composed,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Clarinet, Violin, Viola, Cello, Piano, Guitar, Bass, Drums",Fine Example of ???Big Band Jazz???. / Masterpiece arrangement of the popular standard.
0cd67ec0-b480-4d82-b38d-be022b71dd12,Honeysuckle Rose,Benny Goodman and His Orchestra, +,%45.37,Medium-up Swing,Swing,AABA,Big Band,"Trumpet,Trombone, Clarinet, Alto Saxophone, Tenor Saxophone, Piano, Electric Guitar, Bass, Drums",Representative of ???Swing Era???.
454d929d-f954-48bb-ac2c-755e349eb08d,These Foolish Things,Billie Holiday, +,%53.45,Ballad,Swing,AABA,Jazz Combo (Quintet),"Piano, Bass, Guitar, Drums, Vocals",Fine example of ballad form from the ???swing era??? / Billie Holiday performance
6d6020a9-3816-4bd1-8a2f-8672b0ea2921,He's Funny That Way,Billie Holiday,,,Medium Swing,Swing,,Jazz Combo (Quartet),"Piano, Bass, Drums, Vocals",Fine example of ???swing era??? / Billie Holiday performance
0e9806c6-1342-432b-87b7-11e5e2217311,Mean to Me,Billie Holiday & Teddy Wilson and His Orchestra,+,%48.24,Medium Swing,Swing,ABAC,Jazz Combo (Larger),"Trumpet, Clarinet, Alto Saxophone, Tenor Saxophone, Piano, Guitar, Bass, Drums, Vocals",Fine example of ???swing era??? / Billie Holiday performance
d2d3d206-6d8a-464f-bef5-0f71ef199d0b,Hard Times (Topsy Turvy),Cab Calloway and His Orchestra,,,Medium-up Swing,Swing,AABA,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Piano, Guitar, Bass, Drums, Vocals",Representative of ???swing Era???
0a51dede-9539-4c06-bfd3-e1785595a1a2,Body and Soul,Coleman Hawkins and His Orchestra,+,%46.82,Slow Swing,Swing,AABA,Jazz Combo (Larger),"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Piano, Bass, Drums",Representative of ???Swing Era??? / One of the masterpieces in the history of Jazz
4bca287b-305f-42f8-8a7b-c0bd58e884ce,The Man I Love,Coleman Hawkins Quartet, +,%27.22,Medium-up Swing,Swing,AABA,Jazz Combo (Quartet),"Tenor Saxophone, Piano, Bass, Drums",Representative of ???Swing Era ??? / ???Pre-bop???. Double time rhythm of a ballad standard. (Each A is 16-bars instead of 8-bars)
24fe0c12-91a4-435b-9282-634526e562c7,I Can't Get Started,Dizzy Gillespie Sextet, +,%38.37,Ballad,Swing,AABA,Jazz Combo (Sextet),"Trumpet, Trombone, Tenor Saxophone, Piano, Bass, Drums",Fine example of ???Ballad??? form.
a5fae57b-d0a7-4cc8-958d-f90600c30eb8,Cotton Tail,Duke Ellington & His Orchestra,+,%27.22,Uptempo Swing,Swing,AABA,Big Band,,"Duke???s arrangement of the famous harmonic structure ???Rhythm Changes???. Due to being uptempo, automatic chord evaluation has less accuracy."
ab0af81c-1658-4212-8da3-3135c7a06396,Blue Serge,Duke Ellington & His Orchestra, +,%27.9,Ballad,Swing,Through-Composed,Big Band,,Representative of ???Swing Era ???
0d8187d0-854e-4221-adc4-95a49663020b,In a Mellow Tone,Duke Ellington & His Orchestra,+,%49.61,Medium Swing,Swing,ABAC,Big Band,,Representative of ???Swing Era / Fine example of one of Duke Ellington???s masterpieces.
8d38e1d4-01df-4429-8fb0-bb1f9d63ad4d,The New East St. Louis Toodle-Oo,Duke Ellington & His Orchestra, +,%50.31,Slow Swing,Swing,AABA,Big Band,"trumpet, trombone, tenor saxophone, baritone saxophone, piano, guitar, bass, drums",More modern arrangement of the original tune with different orchestration and voicings
3a68a14f-c514-4262-ba05-08e4e7ace04b,Black and Tan Fantasy,Duke Ellington & His Orchestra, +,%58.12,March,Swing,Through-Composed / Blues Minor,Big Band,"trumpet, trombone, tenor saxophone, baritone saxophone, piano, banjo, bass, drums",Representative of Ellington???s Early Jazz Era recordings
887bc584-e245-4feb-a7a1-add0e483dd21,Ko-Ko,Duke Ellington & His Orchestra, +,%58.3,Medium-up Swing,Swing,Blues Minor,Big Band,"Cornet, Trumpet, Trombone, Valve Trombone, Clarinet, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Piano, Guitar, Bass, Drums",Representative of ???Big Band Jazz / Swing Era???.
20d24e07-a14b-4b44-b372-8ea3b9f21c4e,East St. Louis Toodle-Oo,Duke Ellington & His Orchestra,+,%69.2,Medium Swing,Swing,Through-Composed,Big Band,"trumpet, trombone, tenor saxophone, baritone saxophone, piano, guitar, bass, drums","Memorable composition by Ellington, representative recording of the ???Jazz Age??? (1920???s), big band orchestration"
b54a7a8b-f06a-4d5d-baa8-5700f39941fd,Concerto for Cootie,Duke Ellington & His Orchestra,,,Slow Swing,Swing,,Big Band,,Representative of ???Swing Era ??? / ???Big Band Jazz???
480098d7-8d65-4b1d-a415-71bc647ae6d8,Diminuendo in Blue and Crescendo in Blue,Duke Ellington & His Orchestra,,,Medium-up Swing,Swing,Blues,Big Band,"trumpet, trombone, tenor saxophone, baritone saxophone, piano, banjo, bass, drums",Representative of ???Swing Era ??? / 12-bar Blues with modulation
b26fa5c2-4ddf-48af-9bf7-bd9a9d7d9657,For Dancers Only,Jimmie Lunceford and His Orchestra, +,%37.17,Medium Swing,Swing,AB,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Piano, Guitar, Bass, Drums",Representative of ???Swing Era???.
175e965e-eff8-4989-85b2-5cdae052557e,Organ Grinder's Swing,Jimmie Lunceford and His Orchestra, +,%45.74,Medium Swing,Swing,AB,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Piano, Guitar, Bass, Drums","Different instrumentation (baritone sax, cornet, guitar, clarinet alongside strings and horn section)"
2483bae2-89a5-4c1f-aa76-a94ce6f2e09b,Four or Five Times,Jimmie Noone's Apex Club Orchestra,,,Medium Swing,Swing,,Dixieland Jazz Band,"Clarinet, Alto Saxophone, Tenor Saxophone, Piano, Banjo, Drums",Representative New Orleans Jazz.
cd43bee9-6511-433b-a12c-b3b05badc3c7,I Want to Be Happy,Lester Young-Buddy Rich Trio,,,Medium-up Swing,Swing,AABA,Jazz Combo (Trio),"Tenor Saxophone, Piano, Drums","Fine example of the social, interactive nature of jazz"
be26b916-d04f-44fd-8ec3-47586711b4dd,When Lights Are Low,Lionel Hampton and His Orchestra, +,%25.6,Medium-up Swing,Swing,AABA,Jazz Combo (Larger),"Trumpet, Alto Saxophone, Tenor Saxophone, Vibraphone, Piano, Acoustic Guitar, Bass, Drums",Representative of ???swing Era???.
0bea9450-5d76-4956-97f0-4db739b9ac1a,Mary's Idea,Mary Lou Williams & Andy Kirk and His Clouds of Joy,,,Medium Swing,Swing,,Big Band,"Trumpet, Trombone, Clarinet, Alto Saxophone, Baritone Saxophone, Tenor Saxophone, Piano, Guitar, Bass, Drums",Representative of ???Swing Era???
8e09f1ee-053d-42e3-baf5-50af6137549c,Dinah,Red Nichols & His Five Pennies,+,%64.84,Medium Swing,Swing,AABA,Dixieland Jazz Band,"Trumpet, Clarinet, Alto Saxophone, Trombone, Guitar, Piano, Bass",Representative of Dixieland style / era
6f4aaccf-87df-4265-a3af-9c06742ea102,All Alone,Sarah Vaughan,,,Medium Swing,Swing,Through-Composed,Big Band,,
7299b208-023e-44c9-a11d-5237c6cff8fd,I Found a New Baby,The Benny Goodman Sextet (feat. Charlie Christian & Count Basie),+,%61.25,Medium Swing,Swing,AABA,Jazz Combo (Sextet),"Clarinet, Trumpet, Guitar, Piano, Bass, Drums",Representative of ???Swing Era???
3d672385-79a6-4aa6-94b8-af59a0447db1,Breakfast Feud (composite),The Benny Goodman Sextet (feat. Charlie Christian), +,%29.7,Medium-up Swing,Swing,Blues Major,Jazz Combo (Sextet),"Clarinet, Trumpet, Guitar, Piano, Bass, Drums",Representative of ???Swing Era???.
b7f4e20c-b9f9-45c5-b955-fe2cf18f4345,Body and Soul,The Benny Goodman Trio, +,%31.55,Medium Swing,Swing,AABA,Jazz Combo (Trio),"Clarinet, Piano, Drums",Representative of ???Swing Era ???
c191ada7-4d41-4c10-8d2c-5d9906b693aa,Everybody Loves My Baby,The Boswell Sisters, +,%73.45,Medium-up Swing,Swing,Through-Composed,Jazz Combo (Larger),"Trumpet, Trombone, Clarinet, Violin, Piano, Guitar, String bass, Drums, Vocals",Fine example of Vocalese style of Jazz singing
ef12df0d-beb9-42db-9ad9-c1656d5e27aa,I Can't Believe That You're in Love With Me,The Chocolate Dandies, +,%30.1,Medium-up Swing,Swing,AABA,Jazz Combo (Sextet),"Trumpet, Alto Saxophone, Tenor Saxophone, Guitar, Bass, Drums",Representative of ???Swing Era??? played by a Jazz Combo.
8a9dc1eb-b86c-402c-9e7a-116ee9c06eaf,Four Brothers,Woody Herman and His Orchestra, +,%26.21,Medium-up Swing,Swing,AABA,Big Band,"Trumpet, Trombone, Bass Trombone, Clarinet, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Piano, Guitar, Bass, Drums",Representative of ???Swing Era ??? / ???Big Band Jazz???
